RANK,SOURCES,MOVIES,TOTAL GROSS,AVERAGE GROSS,MARKET SHARE
1,Original Screenplay,7946,1.06375E+11,13387264,44.74
2,Based on Fiction Book/Short Story,2150,47005613207,21863076,19.77
3,Based on Comic/Graphic Novel,249,23369989130,93855378,9.83
4,Remake,328,12832659970,39123963,5.4
5,Based on Real Life Events,3225,11398356297,3534374,4.79
6,Based on TV,231,11305006312,48939421,4.75
7,Based on Factual Book/Article,295,7443681990,25232820,3.13
8,Spin-Off,41,3833128331,93490935,1.61
9,Based on Folk Tale/Legend/Fairytale,78,3406118495,43668186,1.43
10,Based on Play,271,2111190923,7790372,0.89
