location id,region,state,station,station_code,latitude,longitude,height
L1,CO,MS,BELA VISTA,A757,-22.10083333,-56.53999999,208
L2,N,AM,MANAUS,A101,-3.10333333,-60.01638888,61.25
L3,S,RS,PORTO ALEGRE,A801,-30.05,-51.16666666,46.97
L4,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
L5,NE,BA,SALVADOR,A401,-13.01666666,-38.51666666,51.41
L6,SE,SP,BAURU,A705,-22.35805555,-49.02888888,666
L7,S,RS,SANTO AUGUSTO,A805,-27.85416666,-53.7911111,490
L8,S,RS,SANTANA DO LIVRAMENTO,A804,-30.84249999,-55.61277777,196
L9,S,RS,RIO GRANDE,A802,-32.03333333,-52.1,2.46
L10,CO,MT,NOVA UBIRATA,A929,-13.68638888,-54.95611111,518
L11,CO,DF,PARANOA (COOPA-DF),A047,-16.01111111,-47.5575,1043
L12,S,RS,SANTA MARIA,A803,-29.70833333,-53.70361111,95
