date,hour,total precipitation (mm),atmospheric pressure at the level of the pile (mb),atmospheric pressure max. in the previous hour (mb),atmospheric pressure min. in the previous hour (mb),radiation (kj/m2),air temperature - dry bulb (°c),dew point temperature (°c),max. temperature in the previous hour (°c),min. temperature in the previous hour (°c),dew temperature max. in the previous hour (°c),dew temperature min. in the previous hour (°c),relative humidity max. in the previous hour (%),relative humidity min. in the previous hour (%),air relative humidity (%),wind direction (° (gr)),wind gust max (m/s),wind speed (m/s),location id
3/22/2017,1:00,0,990.7,990.7,989.9,0,23.2,0,24.9,22.6,0,0,0,0,0,44,2.6,1.1,L1
1/20/2017,7:00,0,987.3,987.4,987,0,22.6,0,23.3,22.5,0,0,0,0,0,19,1.9,1.1,L1
3/23/2001,22:00,0,999.6,999.6,999.2,129,24.8,22.3,25,24.8,22.8,22.3,88,85,86,44,3,1.8,L2
11/17/2000,8:00,0,1015,1015,1014.4,0,13.2,11.4,14.1,13.1,11.6,11.4,90,85,89,81,2,0.8,L3
9/9/2000,23:00,0,1012.4,1012.4,1011.6,0,22.1,14.6,23.6,22.1,14.6,14.2,62,56,62,37,6.1,1.6,L4
6/9/2000,15:00,0,1007.1,1007.7,1007.1,2495,30.3,23.2,30.5,28.9,24.8,23.2,76,66,66,101,4.5,2.4,L2
10/14/2017,16:00,0,994.2,994.7,994.2,959,19.7,9.4,19.9,18.9,9.6,8.6,52,51,51,193,8,4,L1
8/12/2000,13:00,0,1022.8,1022.9,1022.7,1927,17.6,7.5,18.2,17.4,8.8,6.9,57,48,51,200,8.2,4.8,L4
4/27/2001,15:00,0,1005.7,1006.2,1005.7,3076,30.5,24.6,30.5,29.5,24.8,23.8,73,68,71,87,3.5,1.6,L2
5/17/2017,4:00,0,989.2,989.4,989.2,0,20.4,0,20.5,20.3,0,0,0,0,0,74,1.3,0.4,L1
2/17/2001,16:00,0,1011.3,1011.8,1011.3,2838,27.9,20.6,28.3,27.1,21.1,19.5,68,61,64,89,8.1,3.3,L3
12/14/2000,11:00,0,0,1004.8,1004.5,655,23.6,22.4,23.6,22.9,22.5,21.9,95,93,93,138,1.4,0.3,L5
10/7/2017,0:00,0,985.3,985.3,984.9,0,27.4,15.8,29.4,27.4,17.6,15.8,49,49,49,19,2.7,1.4,L1
7/22/2000,12:00,0,1006.1,1006.1,1005.2,869,27.3,24.3,27.3,24.7,24.6,23.8,95,84,84,121,2.5,1,L2
8/1/2017,14:00,0,992.1,992.5,992.1,1784,26.9,0,27.1,23.2,0,0,0,0,0,30,5.7,3,L1
9/2/2000,8:00,0,1001.7,1001.9,1001.7,0,23.9,22.3,25.3,23.9,22.5,22,91,82,91,163,1.3,0,L2
3/3/2017,17:00,0,986.7,987.2,986.4,617,26.7,0,28.5,26.4,3.4,0,29,0,0,283,9.5,3,L1
8/18/2017,0:00,0,990.8,990.9,990.3,0,20.8,0,21.2,20.8,0,0,0,0,0,4,1.2,0.4,L1
1/12/2001,16:00,0,1013.7,1014.1,1013.7,2438,24.4,11.7,25,24.4,13.2,10.6,49,40,45,92,6.5,2.6,L3
5/31/2001,9:00,0,1005.8,1005.9,1005.7,0,24.3,23.3,24.9,24.3,23.5,23.3,94,91,94,169,1.6,0,L2
1/27/2001,20:00,0,1005.7,1005.7,1005.2,1517,31.5,21,33.6,31.5,21.3,19.9,54,45,54,205,9.5,5.2,L4
1/24/2001,13:00,0,1010,1010.7,1010.4,3319,29.3,22,29.8,28.5,23.1,21.2,69,62,65,133,6.1,2.1,L5
1/12/2001,14:00,0,1014.5,1014.8,1014.5,3444,24.2,9.8,24.3,23.3,11.4,6.5,46,33,40,97,5.3,2.1,L3
10/15/2000,10:00,0,0,1011.6,1010.9,451,24.9,20.1,25,24.1,20.7,19.6,80,73,75,105,5.9,2,L5
