index,date,hour,total precipitation (mm),pressao atmosferica ao nivel da estacao (mb),atmospheric pressure max. in the previous hour (mb),atmospheric pressure min. in the previous hour (mb),radiation (kj/m2),air temperature - dry bulb,dew point temperature,max. temperature in the previous hour,min. temperature in the previous hour,dew temperature max. in the previous hour,dew temperature min. in the previous hour,relative humidity max. in the previous hour (%),relative humidity min. in the previous hour (%),air relative humidity (%),wind direction,wind rajada maxima (m/s),wind speed (m/s),region,state,station,station_code,latitude,longitude,height
647,2001-09-25,23:00,0,940.3,940.5,940.2,0,19.6,18.5,19.6,19.5,18.7,18.4,94,93,93,16,5.7,2.2,SE,SP,BAURU,A705,-22.35805555,-49.02888888,666
4046,2000-10-22,14:00,0,1009.5,1010.4,1009.5,1622,26.1,21.3,26.2,23.9,21.9,21.2,86,75,75,197,2.3,0.8,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
4469,2000-11-09,5:00,0,1008.7,1009.2,1008.7,0,20.7,17.6,21.1,20.7,17.6,16.9,82,77,82,343,2.8,0.6,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
5032,2000-12-02,16:00,0,1008.8,1009.6,1008.8,2436,26.2,20.6,27,25.8,21.3,19.1,73,65,71,165,5.1,2.3,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
5549,2000-12-24,5:00,0,1009.6,1010.5,1009.6,0,24.6,21.4,25.9,24.5,21.6,21.3,83,76,82,9,3.6,1.4,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
5503,2000-12-22,7:00,0,1008.6,1008.7,1008.5,0,21.1,20.2,21.1,20.7,20.2,19.9,95,95,95,19,2.4,1.5,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
4754,2000-11-21,2:00,0,1010.7,1011.1,1010.7,0,22.3,20.6,22.4,22.1,20.6,20.5,91,89,90,13,2.9,1.3,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
4072,2001-02-15,16:00,0,1003.3,1004.3,1003.3,3611,35.4,23.4,35.5,34.6,23.7,21.4,52,46,50,48,7.8,3.4,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
4047,2001-02-14,15:00,0,1004.7,1005.6,1004.7,3661,33.3,20.7,33.6,32.6,22,19.7,51,46,48,7,8.4,4,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
256,2001-09-09,16:00,0,943,943.7,943,2715,30.3,12.5,30.5,28.7,13.5,12.3,39,33,33,69,6.1,2.7,SE,SP,BAURU,A705,-22.35805555,-49.02888888,666
1479,2000-07-07,15:00,0,1016.7,1017.6,1016.7,2414,26.4,15.8,26.5,25.4,16.4,15.8,56,52,52,10,9.3,4.1,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
2516,2001-12-12,20:00,0,938.7,939,938.7,570,23.5,19.2,25.3,23.5,20.1,18.7,80,67,77,192,4.3,1.7,SE,SP,BAURU,A705,-22.35805555,-49.02888888,666
2428,2001-12-09,4:00,0,939.7,940.5,939.6,0,21.3,17.5,21.7,21.2,18.5,17.3,83,76,79,86,3.6,2.2,SE,SP,BAURU,A705,-22.35805555,-49.02888888,666
843,2000-06-11,3:00,0,1016.3,1016.4,1016.1,0,18.3,17.8,18.9,18,18.4,17.5,98,96,97,277,1.5,0.5,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
1517,2001-11-01,5:00,0,939,939.5,939,0,20.3,16.5,21.3,20.3,16.5,16.5,79,74,79,114,6.4,1.8,SE,SP,BAURU,A705,-22.35805555,-49.02888888,666
4929,2000-11-28,9:00,0,1010.6,1010.6,1010,144,24.9,20,24.9,24.1,20.1,19.8,78,74,74,324,6.3,2.9,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
5326,2000-12-14,22:00,0,1000.4,1000.5,999.8,32,29.5,21.8,30.8,29.5,22.1,20.9,63,56,63,56,6.3,1.6,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
784,2000-06-08,16:00,0,1014.8,1015.8,1014.8,2384,29.7,12.4,29.9,28.4,14.6,12.4,43,35,35,341,8.3,3.2,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
1016,2001-10-11,8:00,0,943.1,943.1,942.9,0,19.1,17.5,19.2,18.9,17.5,17.5,91,89,91,112,4.2,1.3,SE,SP,BAURU,A705,-22.35805555,-49.02888888,666
3360,2001-01-17,0:00,0,1014.6,1014.6,1014.4,0,26.9,20.2,27.3,26.9,20.6,20.1,67,66,67,0,0,0,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
2850,2001-12-26,18:00,0,940.9,941.9,940.9,3004,29,16.9,29.4,27.2,18.5,16.6,57,48,48,163,5,1.7,SE,SP,BAURU,A705,-22.35805555,-49.02888888,666
1018,2001-10-11,10:00,0,944.7,944.7,943.7,179,19.8,17.7,19.8,18.9,17.7,17.4,91,88,88,100,4,1.6,SE,SP,BAURU,A705,-22.35805555,-49.02888888,666
2019,2000-07-30,3:00,0,1014.7,1015,1014.7,0,13.6,12.1,14.4,13.3,12.3,11.7,91,87,91,14,2.5,1.5,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
4169,2001-02-19,17:00,0,1009,1009.6,1009,3531,34.6,17.6,35,34.3,19.7,15.7,41,33,37,360,5.8,2.6,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
684,2000-06-04,12:00,0,1022.5,1022.5,1022.1,803,20.7,16,20.7,19.2,16.8,16,85,74,74,37,2.4,1,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
2952,2001-12-31,0:00,0,937.2,937.2,936.1,0,22,18,22.4,21.7,18.3,17.7,80,75,78,127,3.7,0.9,SE,SP,BAURU,A705,-22.35805555,-49.02888888,666
1720,2001-11-09,16:00,0,943.1,943.9,943.1,3528,32.2,17.4,32.2,30,17.4,16.3,46,39,41,66,9.4,2.7,SE,SP,BAURU,A705,-22.35805555,-49.02888888,666
1785,2000-07-20,9:00,0,1013.8,1013.8,1013.2,0,14.5,13.4,15,14.5,13.7,13.4,93,91,93,20,1.7,0.8,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
133,2001-09-04,13:00,0,945.9,945.9,945.5,2122,26.8,13,26.9,24.7,13.5,12,48,41,42,38,3.9,2,SE,SP,BAURU,A705,-22.35805555,-49.02888888,666
2349,2001-12-05,21:00,0,938.7,938.7,937.8,89,23.7,19.9,24.2,23.7,20,19.3,79,74,79,323,7.1,3.1,SE,SP,BAURU,A705,-22.35805555,-49.02888888,666
1716,2000-07-17,12:00,0,1015.6,1015.6,1014.9,1242,16.2,5.7,16.2,14.5,8.2,4.6,61,46,50,330,4.4,2.1,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
425,2001-09-16,17:00,0,943.6,944,943.6,3201,21.7,2.5,22.4,21.4,3.8,1.4,30,26,28,246,8.9,5,SE,SP,BAURU,A705,-22.35805555,-49.02888888,666
2358,2001-12-06,6:00,5.4,938.8,939,938.7,0,19.9,19.2,20,19.8,19.2,19.1,96,95,96,278,4.7,1.6,SE,SP,BAURU,A705,-22.35805555,-49.02888888,666
1238,2000-06-27,14:00,0,1013.8,1014.4,1013.6,1981,27.6,16.2,27.6,25.2,17.3,16.2,61,50,50,358,5.4,1.9,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
2748,2001-12-22,12:00,2.8,940,940.2,939.9,248,21.1,20.4,21.1,20.8,20.4,20,96,96,96,36,6.3,3.5,SE,SP,BAURU,A705,-22.35805555,-49.02888888,666
2659,2000-08-25,19:00,0,1004.7,1004.9,1004.7,1305,35.3,13.4,36.1,35.3,15,12.3,29,24,27,76,3.6,1.7,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
1394,2000-07-04,2:00,0,1020.9,1021.2,1020.9,0,20.7,19,20.8,20.6,19.2,19,91,90,90,185,5,2.9,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
4203,2000-10-29,3:00,0.2,1013.8,1014.3,1013.8,0,19,18.2,19,18.9,18.3,18.1,96,95,95,332,1.8,0.8,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
55,2001-09-01,7:00,0,944.9,945.2,944.9,0,19.7,16,20.3,19.7,16,15.9,79,76,79,104,3.1,1,SE,SP,BAURU,A705,-22.35805555,-49.02888888,666
2857,2001-12-27,1:00,0,942.7,942.7,942,0,20,16.4,21.7,20,17.1,16.4,80,75,80,132,7.4,2,SE,SP,BAURU,A705,-22.35805555,-49.02888888,666
5250,2000-12-11,18:00,0,1006.2,1006.8,1006.2,2816,29.4,19.3,29.9,29.1,21.6,19.1,62,53,55,202,9.6,5,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
4262,2001-02-23,14:00,0,1011.1,1011.6,1011.1,3253,32.6,20.3,32.7,31.1,21.2,19.2,54,46,48,21,4.4,2.4,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
2024,2000-07-30,8:00,0,1013.6,1013.7,1013.6,0,11.3,10.5,11.5,11.3,10.9,10.5,96,95,95,20,2.6,1.6,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
2996,2000-09-08,20:00,0,1009.2,1009.9,1009.1,556,25.6,14.7,27,25.6,15,13.9,52,45,51,76,7.4,2.5,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
415,2001-09-16,7:00,0,941,941.4,941,0,11.7,10.1,13,11.4,10.7,9.9,92,84,90,237,2.4,1.7,SE,SP,BAURU,A705,-22.35805555,-49.02888888,666
