index,date,hour,total precipitation (mm),pressao atmosferica ao nivel da estacao (mb),atmospheric pressure max. in the previous hour (mb),atmospheric pressure min. in the previous hour (mb),radiation (kj/m2),air temperature - dry bulb,dew point temperature,max. temperature in the previous hour,min. temperature in the previous hour,dew temperature max. in the previous hour,dew temperature min. in the previous hour,relative humidity max. in the previous hour (%),relative humidity min. in the previous hour (%),air relative humidity (%),wind direction,wind rajada maxima (m/s),wind speed (m/s),region,state,station,station_code,latitude,longitude,height
1098,2001-10-14,18:00,0,942.8,943.5,942.8,1591,27.3,14.1,27.9,26.8,15.9,13.2,50,42,44,53,3.3,1.6,SE,SP,BAURU,A705,-22.35805555,-49.02888888,666
933,2000-06-14,21:00,0,1014,1014,1013.6,5,21.4,19.2,22.8,21.4,19.3,19.1,88,80,87,206,4.9,1.7,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
553,2000-05-30,1:00,0,1013.8,1013.8,1013.5,0,13.2,12.4,14,13,12.7,12.1,96,92,95,17,1.6,1.3,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
4849,2000-11-25,1:00,0,1008.1,1008.4,1008.1,0,23.7,22.1,24.3,23.5,22.1,21.8,92,87,91,9,1.2,0,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
1523,2000-07-09,11:00,0,1014,1014,1013.2,454,23.5,14.7,23.5,22.1,14.7,14.4,63,57,57,307,7.5,4.2,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
3770,2000-10-11,2:00,0,1013.5,1013.9,1013.5,0,21.7,19.4,22,21.5,19.4,19.2,87,85,86,240,3,0,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
1891,2000-07-24,19:00,0,1016.6,1016.6,1016.3,411,17.6,12.6,18,17.6,12.9,12.2,73,70,72,205,7.6,3.8,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
384,2001-09-15,0:00,0,939.9,940,939.7,0,17.7,17.2,17.9,17.7,17.5,17.2,97,97,97,42,5.8,2.4,SE,SP,BAURU,A705,-22.35805555,-49.02888888,666
3619,2001-01-27,19:00,0,1005.2,1005.6,1005.2,2455,33.6,20.5,35.4,33.6,20.6,18.6,46,38,46,198,8.7,5.3,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
1217,2000-06-26,17:00,0,1010.2,1010.5,1010.2,2010,30,15,30.5,29.7,15.7,14.1,42,37,40,191,8.3,4.9,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
1823,2001-11-13,23:00,0,938,938.1,937.9,0,20.8,19.7,21.6,20.8,19.9,19.6,93,90,93,32,1.7,0.7,SE,SP,BAURU,A705,-22.35805555,-49.02888888,666
2199,2001-11-29,15:00,0,937.8,938.5,937.8,2670,27.6,19.9,27.8,26.4,20.9,19.3,71,62,63,22,4.9,2.2,SE,SP,BAURU,A705,-22.35805555,-49.02888888,666
789,2001-10-01,21:00,0,936.3,936.3,935.4,62,27.1,18.3,28.4,27.1,18.3,17.4,58,52,58,308,10.6,3.8,SE,SP,BAURU,A705,-22.35805555,-49.02888888,666
487,2001-09-19,7:00,0,945.6,945.8,945.6,0,11.6,9.8,12.3,11.6,9.8,9.8,89,85,89,122,5.1,2,SE,SP,BAURU,A705,-22.35805555,-49.02888888,666
3156,2000-09-15,12:00,0,1013.2,1013.7,1013.2,1443,27.9,19.2,27.9,23.7,20.5,18.6,82,57,59,6,10.6,5.4,SE,RJ,ECOLOGIA AGRICOLA,A601,-22.8,-43.68333333,33
